lat,lng,labels,image_ids
40.78444397440956,-73.97387036544755,"[0]","[281]"
40.7843230540419,-73.97395859672496,"[0]","[281]"
40.788011555723294,-73.97126839928684,"[0]","[253]"
40.78809359569527,-73.97120863588779,"[0]","[253]"
40.79337122714981,-73.97241030039365,"[0, 0]","[85, 95]"
40.78531238405078,-73.97654468452862,"[0]","[13]"
40.784894147455944,-73.97663624836467,"[0]","[13]"
40.78585951825665,-73.97614173428006,"[0, 0]","[19, 20]"
40.78718656093896,-73.97517029895499,"[0, 0]","[32, 31]"
40.7959566896364,-73.970524768468,"[0]","[140]"
40.79168195620236,-73.97345010518778,"[0]","[62]"
40.79201989729705,-73.97325570402698,"[0]","[62]"
40.791795405368404,-73.97356541552578,"[0, 0, 0]","[62, 63, 66]"
40.79867898830759,-73.96853989260313,"[0, 0, 0]","[168, 166, 167]"
40.798906194321034,-73.96837514452,"[0, 0]","[168, 169]"
40.800105026890435,-73.96781068567451,"[0, 0]","[216, 214]"
40.80027669942103,-73.96775501224234,"[0]","[216]"
40.798246321954906,-73.96885697923781,"[0, 0, 0, 0]","[160, 161, 157, 158]"
40.78568788289873,-73.97296239964857,"[0, 0]","[268, 269]"
40.78484199286948,-73.9768843220667,"[0]","[10]"
40.784761621734006,-73.97694312025557,"[0]","[10]"
40.78667205840012,-73.97554916390052,"[0]","[22]"
40.79482216816662,-73.97091065924685,"[0]","[122]"
40.794658848550114,-73.97108338350047,"[0]","[122]"
40.79190438920373,-73.97348702524316,"[0]","[63]"
40.79353285066517,-73.97229441935157,"[0, 0, 0]","[88, 99, 96]"
40.78675088470924,-73.97218857110492,"[0]","[263]"
40.794409406884796,-73.97157343768744,"[0]","[116]"
40.805320557730894,-73.9661763680626,"[0]","[246]"
40.80545172113493,-73.96608158004753,"[0]","[246]"
40.78802857789476,-73.97441374212805,"[0]","[42]"
40.783862991217376,-73.97428674299229,"[0, 0]","[285, 288]"
40.78794245058495,-73.97461734439423,"[0]","[41]"
40.78546822861695,-73.97312316659811,"[0]","[272]"
40.79850720585947,-73.96866445773179,"[0, 0]","[166, 163]"
40.79126118029311,-73.97385377688835,"[0]","[60]"
40.78627624817066,-73.97253282359122,"[0]","[266]"
40.799343107160084,-73.96871681506741,"[0, 0, 0]","[178, 177, 177]"
40.798081489755255,-73.96959247962121,"[0]","[200]"
40.78372645168864,-73.9743866395337,"[0]","[289]"
40.800495114214684,-73.96771855863712,"[0]","[220]"
40.782187946735846,-73.97551949588939,"[0]","[299]"
40.7869480139938,-73.97514270329206,"[0]","[24]"
40.782833160427586,-73.9750462215739,"[0]","[294]"
40.8050581991407,-73.96636614153077,"[0, 0]","[250, 248]"
40.795729060363264,-73.97068600531868,"[0]","[133]"
40.79835436771498,-73.96848266516662,"[0]","[158]"
40.79814978411766,-73.96892671323998,"[0, 0, 0, 0]","[158, 160, 161, 157]"
40.79804129400179,-73.96900509563827,"[0, 0, 0]","[158, 157, 156]"
40.79878528938947,-73.96908772255557,"[0, 0, 0]","[187, 184, 188]"
40.78106178655168,-73.97634036165275,"[0]","[313]"
40.780974843796386,-73.97639983127628,"[0]","[313]"
40.781145966691234,-73.97627908675884,"[0]","[313]"
40.78341348051906,-73.97461559468718,"[0]","[290]"
40.78312792210854,-73.97483050015423,"[0]","[293]"
40.79154385158943,-73.9737442714459,"[0, 0]","[61, 60]"
40.793662352266686,-73.97220040645105,"[0, 0, 0]","[99, 90, 96]"
40.793898273337916,-73.971860096011,"[0]","[99]"
40.797557398763914,-73.96935698445225,"[0, 0, 0, 0]","[146, 147, 153, 150]"
40.797369180854616,-73.969495836343,"[0, 0, 0, 0]","[146, 145, 147, 142]"
40.79492619097507,-73.97083752707755,"[0]","[123]"
40.78609019314955,-73.97597263169033,"[0]","[21]"
40.786195528024315,-73.97589540196343,"[0]","[21]"
40.79544122723341,-73.97089716578006,"[0, 0, 0]","[131, 132, 133]"
40.79552501850474,-73.97083610641575,"[0]","[131]"
40.78694877359867,-73.97204430477028,"[0]","[262]"
40.78712781007661,-73.97191381262071,"[0, 0]","[262, 260]"
40.78730423370123,-73.9750872607492,"[0]","[31]"
40.78247729291166,-73.97530931807326,"[0, 0]","[296, 298]"
40.78558450009874,-73.97303719656193,"[0]","[269]"
40.798813602822584,-73.9684422947351,"[0, 0]","[167, 169]"
40.7839123765097,-73.97756065296733,"[0, 0, 0, 0]","[7, 4, 6, 5]"
40.78408720632157,-73.9774199240328,"[0]","[7]"
40.79312846731534,-73.97258860246467,"[0, 0, 0]","[84, 85, 88]"
40.79289155341225,-73.97276272772127,"[0]","[84]"
40.79959432883252,-73.9685851707773,"[0, 0, 0, 0]","[175, 173, 174, 174]"
40.793800362363434,-73.97210032245366,"[0]","[100]"
40.788130695566046,-73.97448012495865,"[0]","[43]"
40.79786612454673,-73.96913166181938,"[0, 0, 0]","[156, 153, 156]"
40.79658144183239,-73.97007288040399,"[0]","[141]"
40.796263025254575,-73.97023928709196,"[0]","[141]"
40.785543163624396,-73.97620944721369,"[0]","[20]"
40.787451718324874,-73.97497946267802,"[0]","[34]"
40.78776163333546,-73.97145507633148,"[0, 0, 0]","[257, 255, 256]"
40.78709299519438,-73.97523870381941,"[0, 0]","[28, 27]"
40.797957655956836,-73.97009997661294,"[0]","[205]"
40.80092079425572,-73.96764859230336,"[0, 0]","[223, 221]"
40.800813773889644,-73.96766720454093,"[0, 0, 0]","[223, 220, 221]"
40.783214480100504,-73.97476707715447,"[0, 0]","[292, 293]"
40.80043077788208,-73.96754289296398,"[0]","[214]"
40.79997090058199,-73.96785414704348,"[0]","[214]"
40.80133367036173,-73.9674601212016,"[0, 0]","[221, 223]"
40.80482926546106,-73.96653164645222,"[0, 0]","[251, 250]"
40.805040199366516,-73.96650932772927,"[0]","[251]"
40.79748289100279,-73.97002615014895,"[0, 0]","[207, 208]"
40.80583015149732,-73.96580202750344,"[0]","[242]"
40.80572068075185,-73.96588170353014,"[0]","[242]"
40.804556545487195,-73.96673289985806,"[0]","[252]"
40.8046586745849,-73.96665753322037,"[0]","[252]"
40.79834201481493,-73.96941030526177,"[0, 0, 0, 0]","[193, 194, 196, 195]"
40.798472034534015,-73.96931639426784,"[0, 0]","[193, 194]"
40.79214851208518,-73.973306217951,"[0]","[72]"
